Algoritmo;TamMatriz;Hilos;Repeticion;Tiempo_microsegundos;;;;;;;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos;;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos;;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos
mmClasicaFork;2;1;1;396;;;;;;;;;mmClasicaFork;2;1;310,2;;;;mmClasicaFork;3;1;310,2;;;;mmClasicaFork;5;1;406,4
mmClasicaFork;2;1;2;506;;;;;;;;;;;2;517,4333333;;;;;;2;404,8666667;;;;;;2;499,7
mmClasicaFork;2;1;3;492;;;;;;;;;;;4;1042,266667;;;;;;4;646;;;;;;4;988
mmClasicaFork;2;1;4;526;;;;;;;;;;;8;1260,3;;;;;;8;1318,3;;;;;;8;1238,133333
mmClasicaFork;2;1;5;611;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;1;6;391;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;1;7;294;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;1;8;420;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;1;9;535;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;1;10;400;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;1;11;479;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;1;12;309;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;1;13;336;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;1;14;294;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;1;15;296;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;1;16;274;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;1;17;299;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;1;18;344;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;1;19;299;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;1;20;279;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;1;21;289;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;1;22;285;;;;;;;;;;Fork;2980,6;;;;;;;;;;;;;;;
mmClasicaFork;2;1;23;290;;;;;;;;;;OpenMP;1390,555556;;;;;;;;;;;;;;;
mmClasicaFork;2;1;24;330;;;;;;;;;;Filas;1993,266667;;;;;;;;;;;;;;;
mmClasicaFork;2;1;25;267;;;;;;;;;;Posix;4713,822222;;;;;;;;;;;;;;;
mmClasicaFork;2;1;26;283;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;1;27;308;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;1;28;275;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;1;29;323;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;1;30;305;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;2;1;417;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;2;2;372;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;2;3;384;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;2;4;372;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;2;5;352;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;2;6;444;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;2;7;359;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;2;8;394;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;2;9;669;;;;;;;;;;;;;;;;;;;;;;;;;;
