Algoritmo;TamMatriz;Hilos;Repeticion;Tiempo_microsegundos;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos;
mmClasicaOpenMP;2;1;1;14;;;mmClasicaFork;3;1;4,033333333;;;mmClasicaFork;3;1;3,033333333;
mmClasicaOpenMP;2;1;2;13;;;;;2;72,53333333;;;;;2;153,7333333;
mmClasicaOpenMP;2;1;3;5;;;;;4;1132,9;;;;;4;1132,9;
mmClasicaOpenMP;2;1;4;8;;;;;8;272,2666667;;;;;8;272,2666667;
mmClasicaOpenMP;2;1;5;3;;;;;;;;;;;;;
mmClasicaOpenMP;2;1;6;4;;;;;;;;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos
mmClasicaOpenMP;2;1;7;3;;;;;;;;;;mmClasicaFork;3;1;3,466666667
mmClasicaOpenMP;2;1;8;3;;;;;;;;;;;;2;192,5333333
mmClasicaOpenMP;2;1;9;3;;;;;;;;;;;;4;521,8666667
mmClasicaOpenMP;2;1;10;4;;;;;;;;;;;;8;410,1333333
mmClasicaOpenMP;2;1;11;3;;;;;;;;;;;;;
mmClasicaOpenMP;2;1;12;3;;;;;;;;;;;;;
mmClasicaOpenMP;2;1;13;2;;;;;;;;;;;;;
mmClasicaOpenMP;2;1;14;3;;;;;;;;;;;;;
mmClasicaOpenMP;2;1;15;2;;;;;;;;;;;;;
mmClasicaOpenMP;2;1;16;5;;;;;;;;;;;;;
mmClasicaOpenMP;2;1;17;3;;;;;;;;;;;;;
mmClasicaOpenMP;2;1;18;3;;;;;;;;;;;;;
mmClasicaOpenMP;2;1;19;2;;;;;;;;;;;;;
mmClasicaOpenMP;2;1;20;6;;;;;;;;;;;;;
mmClasicaOpenMP;2;1;21;2;;;;;;;;;;;;;
mmClasicaOpenMP;2;1;22;2;;;;;;;;;;;;;
mmClasicaOpenMP;2;1;23;2;;;;;;;;;;;;;
mmClasicaOpenMP;2;1;24;3;;;;;;;;;;;;;
mmClasicaOpenMP;2;1;25;2;;;;;;;;;;;;;
mmClasicaOpenMP;2;1;26;4;;;;;;;;;;;;;
mmClasicaOpenMP;2;1;27;3;;;;;;;;;;;;;
mmClasicaOpenMP;2;1;28;4;;;;;;;;;;;;;
mmClasicaOpenMP;2;1;29;3;;;;;;;;;;;;;
mmClasicaOpenMP;2;1;30;4;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;1;79;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;2;60;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;3;54;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;4;51;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;5;49;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;6;61;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;7;73;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;8;62;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;9;85;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;10;116;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;11;84;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;12;99;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;13;129;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;14;97;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;15;78;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;16;76;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;17;54;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;18;71;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;19;63;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;20;83;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;21;52;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;22;66;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;23;55;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;24;54;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;25;53;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;26;55;;;;;;;;;;;;;
mmClasicaOpenMP;2;2;27;54;;;;;;;;;;;;;
